City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
124,Faya,SA,2022-01-30 23:57:40,18.3851,42.4509,286.21,79,14,1.85
125,Upernavik,GL,2022-01-30 23:55:30,72.7868,-56.1549,252.82,97,100,1.22
126,Ancud,CL,2022-01-30 23:57:40,-41.8697,-73.8203,288.94,66,33,4.01
127,Maceio,BR,2022-01-30 23:57:41,-9.6658,-35.7353,299.84,89,20,1.54
128,Tilichiki,RU,2022-01-30 23:57:41,60.4667,166.1,265.21,79,100,4.92
129,Guerrero Negro,MX,2022-01-30 23:57:42,27.9769,-114.0611,290.7,55,87,6.19
130,Banjar,ID,2022-01-30 23:57:42,-8.19,114.9675,301.07,87,100,1.41
131,Grosseto,IT,2022-01-30 23:57:43,42.8333,11.25,283.59,88,0,1.13
132,Biak,ID,2022-01-30 23:57:43,-0.9131,122.8766,299.91,71,99,2.96
133,Lakatoro,VU,2022-01-30 23:57:44,-16.0999,167.4164,301.15,78,100,5.32
134,Pont-Audemer,FR,2022-01-30 23:57:44,49.35,0.5167,280.7,85,87,6.72
135,Severo-Kurilsk,RU,2022-01-30 23:57:44,50.6789,156.125,271.13,95,100,3.33
136,Yerbogachen,RU,2022-01-30 23:57:45,61.2767,108.0108,246.13,100,95,1.42
137,Port-Gentil,GA,2022-01-30 23:58:45,-0.7193,8.7815,300.37,78,96,4.89
138,Kapaa,US,2022-01-30 23:58:46,22.0752,-159.319,300.08,85,8,1.34
139,Chimbote,PE,2022-01-30 23:58:46,-9.0853,-78.5783,294.71,83,100,3.3
140,Butaritari,KI,2022-01-30 23:58:47,3.0707,172.7902,300.95,76,28,9.35
141,Avarua,CK,2022-01-30 23:58:47,-21.2078,-159.775,296.18,94,40,3.6
142,Half Moon Bay,US,2022-01-30 23:56:32,37.4636,-122.4286,291.81,72,20,0.89
143,Aleppo,SY,2022-01-30 23:56:11,36.25,37.5,277.12,91,93,5.13
144,Kaduy,RU,2022-01-30 23:58:48,59.2,37.15,266.33,94,100,4.19
145,Codrington,AU,2022-01-30 23:58:49,-38.2667,141.9667,298.34,62,51,0.25
146,Bambous Virieux,MU,2022-01-30 23:58:49,-20.3428,57.7575,299.29,94,75,4.12
147,Sorong,ID,2022-01-30 23:58:50,-0.8833,131.25,301.41,75,100,5.93
148,Port Lincoln,AU,2022-01-30 23:58:50,-34.7333,135.8667,294.99,70,39,3.57
149,Salalah,OM,2022-01-30 23:58:50,17.0151,54.0924,292.44,68,14,1.13
150,Isangel,VU,2022-01-30 23:58:51,-19.55,169.2667,301.21,94,100,2.06
151,Zhuanghe,CN,2022-01-30 23:58:51,39.7008,122.9911,268.97,41,75,3.07
152,Vanimo,PG,2022-01-30 23:58:52,-2.6741,141.3028,298.04,89,100,2.99
153,Santa Luzia,BR,2022-01-30 23:58:52,-19.7697,-43.8514,297.65,81,40,2.57
154,Tuktoyaktuk,CA,2022-01-30 23:58:52,69.4541,-133.0374,255.15,78,100,9.26
155,Klaksvik,FO,2022-01-30 23:58:53,62.2266,-6.589,274.66,54,99,17.99
156,Mundo Nuevo,MX,2022-01-30 23:58:54,18.7,-95.5,294.01,80,46,2.75
157,Karratha,AU,2022-01-30 23:58:54,-20.7377,116.8463,304.86,48,74,6.85
158,Ormond Beach,US,2022-01-30 23:57:28,29.2858,-81.0559,283.87,44,0,2.06
159,Springbok,ZA,2022-01-30 23:58:55,-29.6643,17.8865,297.4,45,72,2.39
160,Hasaki,JP,2022-01-30 23:58:55,35.7333,140.8333,276.37,46,100,7.36
161,Haines Junction,CA,2022-01-30 23:58:56,60.7522,-137.5108,261.12,52,93,5.66
162,Plymouth,US,2022-01-30 23:58:56,41.8334,-70.8328,266.86,74,26,2.67
163,Illapel,CL,2022-01-30 23:56:37,-31.6308,-71.1653,293.09,75,6,2.25
164,Kijang,KR,2022-01-30 23:58:57,35.2442,129.2139,270.0,28,0,1.95
165,Bontang,ID,2022-01-30 23:55:40,0.1333,117.5,298.29,87,100,1.9
166,Geraldton,AU,2022-01-30 23:58:57,-28.7667,114.6,296.38,78,40,5.14
167,Simplicio Mendes,BR,2022-01-30 23:58:58,-7.8539,-41.9103,299.23,55,98,0.36
168,Narsaq,GL,2022-01-30 23:58:58,60.9167,-46.05,265.66,83,100,8.79
169,Kampot,KH,2022-01-30 23:58:59,10.6167,104.1833,297.18,87,73,2.34
170,Lluta,PE,2022-01-30 23:58:59,-16.0147,-72.0142,282.3,61,86,1.74
171,Saskylakh,RU,2022-01-30 23:58:59,71.9167,114.0833,243.23,100,99,1.2
172,Labuan,MY,2022-01-30 23:59:00,5.2767,115.2417,298.35,94,20,3.13
173,Georgetown,MY,2022-01-30 23:58:55,5.4112,100.3354,299.2,90,20,2.24
174,Vanavara,RU,2022-01-30 23:59:01,60.34,102.2797,246.3,100,100,0.94
175,Port Hedland,AU,2022-01-30 23:59:01,-20.3167,118.5667,303.18,70,96,5.14
176,Encarnacion,PY,2022-01-30 23:59:02,-27.3333,-55.9,305.44,29,0,2.57
177,Kloulklubed,PW,2022-01-30 23:59:02,7.0419,134.2556,300.43,73,98,6.19
178,Ostrovnoy,RU,2022-01-30 23:55:56,68.0531,39.5131,259.91,95,93,3.67
179,Iqaluit,CA,2022-01-30 23:59:03,63.7506,-68.5145,243.0,76,0,2.57
180,Richards Bay,ZA,2022-01-30 23:59:03,-28.783,32.0377,294.74,88,99,2.76
181,Saint-Philippe,RE,2022-01-31 00:00:09,-21.3585,55.7679,297.92,86,42,4.68
182,Faanui,PF,2022-01-31 00:00:10,-16.4833,-151.75,300.36,71,17,5.19
183,Mendi,PG,2022-01-31 00:00:11,-6.1761,143.6513,289.69,80,100,0.69
184,Talaya,RU,2022-01-31 00:00:12,61.3833,152.75,248.56,95,100,2.72
185,Amahai,ID,2022-01-30 23:58:32,-3.3333,128.9167,301.59,71,100,3.99
186,Dharchula,IN,2022-01-31 00:00:15,29.85,80.5333,280.18,48,0,3.15
187,Nalut,LY,2022-01-31 00:00:17,30.3333,10.85,278.65,52,0,0.76
188,Kattivakkam,IN,2022-01-31 00:00:18,13.2167,80.3167,298.19,86,9,0.61
189,Mayo,US,2022-01-30 23:56:42,38.8876,-76.5119,272.73,58,100,0.45
190,Aden,YE,2022-01-31 00:00:02,12.7794,45.0367,297.85,71,40,6.47
191,Ventspils,LV,2022-01-31 00:00:19,57.3894,21.5606,273.11,86,100,11.32
