City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Conditions
151,Pimentel,PE,-6.8367,-79.9342,294.43,80,36,3.96,scattered clouds
152,Bethel,US,41.3712,-73.414,266.87,70,0,0.0,clear sky
153,Iqaluit,CA,63.7506,-68.5145,239.09,73,0,1.03,clear sky
154,Vestmannaeyjar,IS,63.4427,-20.2734,273.62,74,25,13.04,scattered clouds
155,Bonavista,CA,48.6499,-53.1147,272.66,64,39,8.39,scattered clouds
156,Port Lincoln,AU,-34.7333,135.8667,291.89,56,40,9.51,scattered clouds
157,Arraial Do Cabo,BR,-22.9661,-42.0278,297.77,91,100,1.95,overcast clouds
158,Kungurtug,RU,50.5994,97.5228,254.45,90,30,0.68,scattered clouds
159,Victoria,HK,22.2855,114.1577,288.84,85,100,4.92,overcast clouds
160,Kuching,MY,1.55,110.3333,304.27,66,40,4.12,scattered clouds
161,Sarkand,KZ,45.41,79.9186,269.53,75,100,1.25,overcast clouds
162,Saquena,PE,-4.6667,-73.5167,295.83,77,100,1.16,overcast clouds
163,Coquimbo,CL,-29.9533,-71.3436,291.0,77,100,2.06,overcast clouds
164,Sao Raimundo Das Mangabeiras,BR,-7.0219,-45.4811,296.45,80,58,0.47,broken clouds
165,Ahipara,NZ,-35.1667,173.1667,295.06,77,100,6.45,overcast clouds
166,Narrabri,AU,-30.3167,149.7833,309.55,40,46,1.79,scattered clouds
167,Avarua,CK,-21.2078,-159.775,299.18,83,20,5.14,few clouds
168,Ahuimanu,US,21.4447,-157.8378,297.99,74,20,0.89,few clouds
169,Olga,RU,43.7444,135.2892,268.27,46,0,6.31,clear sky
170,Karatau,KZ,43.1667,70.4667,273.99,67,31,1.47,scattered clouds
171,Caravelas,BR,-17.7125,-39.2481,298.11,91,68,3.3,broken clouds
172,Chiredzi,ZW,-21.05,31.6667,295.15,80,3,2.24,clear sky
173,Turukhansk,RU,65.8167,87.9833,261.03,94,100,4.95,light snow
174,Bengkulu,ID,-3.8004,102.2655,302.39,67,76,3.89,broken clouds
175,Mitsamiouli,KM,-11.3847,43.2844,298.31,78,20,2.06,few clouds
176,Thompson,CA,55.7435,-97.8558,256.24,78,100,4.12,overcast clouds
177,Smoky Lake,CA,54.1169,-112.4686,252.57,77,88,2.06,overcast clouds
178,Kandrian,PG,-6.2167,149.55,301.44,78,100,1.22,moderate rain
179,Yankton,US,42.8711,-97.3973,280.29,53,0,6.69,clear sky
180,Rorvik,NO,64.8621,11.2373,270.32,86,100,8.61,overcast clouds
181,Hurricane,US,37.1753,-113.2899,282.37,35,77,0.19,broken clouds
182,Panjab,AF,34.388,67.0233,260.64,66,14,1.59,few clouds
183,Omboue,GA,-1.5746,9.2618,298.17,87,81,1.26,broken clouds
