City_ID,City,Country,Max Temp,Current Conditions,Lat,Lng,Hotel Name
174,Bengkulu,ID,302.39,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
175,Mitsamiouli,KM,298.31,few clouds,-11.3847,43.2844,Foyer ADM
176,Thompson,CA,256.24,overcast clouds,55.7435,-97.8558,Burntwood Hotel
177,Smoky Lake,CA,252.57,overcast clouds,54.1169,-112.4686,Country Garden Hotel
178,Kandrian,PG,301.44,moderate rain,-6.2167,149.55,Kandrian Station
179,Yankton,US,280.29,clear sky,42.8711,-97.3973,"Holiday Inn Express & Suites Yankton, an IHG Hotel"
180,Rorvik,NO,270.32,overcast clouds,64.8621,11.2373,Kysthotellet Rørvik AS
181,Hurricane,US,282.37,broken clouds,37.1753,-113.2899,Super 8 by Wyndham Hurricane Zion National Park
183,Omboue,GA,298.17,broken clouds,-1.5746,9.2618,Hotel Olako
184,Bowen,AU,305.27,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
185,Pevek,RU,246.82,broken clouds,69.7008,170.3133,Severnoye Zoloto
186,Nishihara,JP,292.96,broken clouds,26.1842,127.7558,Minshuku Agaihama
187,Flin Flon,CA,255.93,light snow,54.7682,-101.865,Victoria Inn Flin Flon
188,Veraval,IN,297.35,clear sky,20.9,70.3667,Lords Inn Somnath
189,Bloomfield,US,270.19,clear sky,40.8068,-74.1854,La Quinta Inn & Suites by Wyndham Clifton/Rutherford
190,Cidreira,BR,295.52,clear sky,-30.1811,-50.2056,Hotel Castelo
191,Nikolskoye,RU,269.09,snow,59.7035,30.7861,Tourist House - Sablino
192,Yellowknife,CA,248.38,few clouds,62.456,-114.3525,The Explorer Hotel
193,San Francisco,US,285.4,scattered clouds,37.7749,-122.4194,The Clift Royal Sonesta Hotel
195,Sechura,PE,295.88,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
196,Port Elizabeth,ZA,295.43,mist,-33.918,25.5701,39 On Nile Guest House
197,Kermanshah,IR,273.65,light intensity drizzle,34.3142,47.065,Sina Hotel
198,Kruisfontein,ZA,294.2,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
199,Katsuura,JP,282.17,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
201,Hami,CN,269.57,scattered clouds,42.8,93.45,Laoyutang Resort
202,Georgetown,MY,306.11,few clouds,5.4112,100.3354,Cititel Penang
